date,closing-amount
5/1/1956,48.16
5/2/1956,48.17
5/3/1956,48.34
5/4/1956,48.51
5/7/1956,48.22
5/8/1956,48.02
5/9/1956,47.94
5/10/1956,47.16
5/11/1956,47.12
5/14/1956,46.86
5/15/1956,46.37
5/16/1956,46.05
5/17/1956,46.61
5/18/1956,46.39
5/21/1956,45.99
5/22/1956,45.26
5/23/1956,45.02
5/24/1956,44.6
5/25/1956,44.62
5/28/1956,44.1
5/29/1956,45.11
5/31/1956,45.2
6/1/1956,45.58
6/4/1956,45.85
6/5/1956,45.86
6/6/1956,45.63
6/7/1956,45.99
6/8/1956,45.14
6/11/1956,45.71
6/12/1956,46.36
6/13/1956,46.42
6/14/1956,46.31
6/15/1956,46.37
6/18/1956,46.17
6/19/1956,46.22
6/20/1956,46.41
6/21/1956,46.73
6/22/1956,46.59
6/25/1956,46.41
6/26/1956,46.72
6/27/1956,47.07
6/28/1956,47.13
6/29/1956,46.97
7/2/1956,46.93
7/3/1956,47.32
7/5/1956,47.8
7/6/1956,48.04
7/9/1956,48.25
7/10/1956,48.54
7/11/1956,48.69
7/12/1956,48.58
7/13/1956,48.72
7/16/1956,49.14
7/17/1956,49.31
7/18/1956,49.3
7/19/1956,49.32
7/20/1956,49.35
7/23/1956,49.33
7/24/1956,49.33
7/25/1956,49.44
7/26/1956,49.48
7/27/1956,49.08
7/30/1956,49
7/31/1956,49.39
8/1/1956,49.62
8/2/1956,49.64
8/3/1956,49.64
8/6/1956,48.96
8/7/1956,49.16
8/8/1956,49.36
8/9/1956,49.32
8/10/1956,49.09
8/13/1956,48.58
8/14/1956,48
8/15/1956,48.99
8/16/1956,48.88
8/17/1956,48.82
8/20/1956,48.25
8/21/1956,47.89
8/22/1956,47.42
8/23/1956,48
8/24/1956,47.95
8/27/1956,47.66
8/28/1956,47.57
8/29/1956,47.36
8/30/1956,46.94
8/31/1956,47.51
9/4/1956,47.89
9/5/1956,48.02
9/6/1956,48.1
9/7/1956,47.81
9/10/1956,47.56
9/11/1956,47.38
9/12/1956,47.05
9/13/1956,46.09
9/14/1956,47.21
9/17/1956,47.1
