country,type,weekday,year,month,day,date,localtime,date-localtime,timeofday,ISO8601Time
usa,Underwater,Friday,1958,5,16,5/16/1958,18:30:01,5/16/1958 18:30:01,Evening,1958-05-16
usa,Atmospheric,Tuesday,1958,5,20,5/20/1958,11:30:00,5/20/1958 11:30:00,Morning,1958-05-20
usa,Atmospheric,Wednesday,1958,5,21,5/21/1958,14:20:00,5/21/1958 14:20:00,Afternoon,1958-05-21
usa,Atmospheric,Monday,1958,5,26,5/26/1958,11:00:00,5/26/1958 11:00:00,Morning,1958-05-26
usa,Atmospheric,Monday,1958,5,26,5/26/1958,19:00:00,5/26/1958 19:00:00,Evening,1958-05-26
usa,Atmospheric,Friday,1958,5,30,5/30/1958,19:15:00,5/30/1958 19:15:00,Evening,1958-05-30
usa,Atmospheric,Saturday,1958,5,31,5/31/1958,20:00:00,5/31/1958 20:00:00,Evening,1958-05-31
usa,Atmospheric,Monday,1958,6,2,6/2/1958,11:45:00,6/2/1958 11:45:00,Morning,1958-06-02
usa,Underwater,Sunday,1958,6,8,6/8/1958,11:15:00,6/8/1958 11:15:00,Morning,1958-06-08
usa,Atmospheric,Tuesday,1958,6,10,6/10/1958,10:30:00,6/10/1958 10:30:00,Morning,1958-06-10
usa,Atmospheric,Saturday,1958,6,14,6/14/1958,10:30:00,6/14/1958 10:30:00,Morning,1958-06-14
usa,Atmospheric,Saturday,1958,6,14,6/14/1958,11:30:00,6/14/1958 11:30:00,Morning,1958-06-14
usa,Atmospheric,Wednesday,1958,6,18,6/18/1958,20:00:00,6/18/1958 20:00:00,Evening,1958-06-18
usa,Atmospheric,Friday,1958,6,27,6/27/1958,10:30:00,6/27/1958 10:30:00,Morning,1958-06-27
usa,Atmospheric,Friday,1958,6,27,6/27/1958,11:30:00,6/27/1958 11:30:00,Morning,1958-06-27
usa,Atmospheric,Saturday,1958,6,28,6/28/1958,12:30:00,6/28/1958 12:30:00,Afternoon,1958-06-28
usa,Atmospheric,Sunday,1958,6,29,6/29/1958,17:00:00,6/29/1958 17:00:00,Afternoon,1958-06-29
usa,Atmospheric,Tuesday,1958,7,1,7/1/1958,11:30:00,7/1/1958 11:30:00,Morning,1958-07-01
usa,Atmospheric,Wednesday,1958,7,2,7/2/1958,10:30:00,7/2/1958 10:30:00,Morning,1958-07-02
usa,Atmospheric,Saturday,1958,7,5,7/5/1958,11:30:00,7/5/1958 11:30:00,Morning,1958-07-05
usa,Atmospheric,Saturday,1958,7,12,7/12/1958,20:30:00,7/12/1958 20:30:00,Evening,1958-07-12
usa,Atmospheric,Monday,1958,7,14,7/14/1958,21:00:00,7/14/1958 21:00:00,Evening,1958-07-14
usa,Atmospheric,Thursday,1958,7,17,7/17/1958,16:00:00,7/17/1958 16:00:00,Afternoon,1958-07-17
usa,Atmospheric,Tuesday,1958,7,22,7/22/1958,13:30:00,7/22/1958 13:30:00,Afternoon,1958-07-22
